overfitting,correct,Q to ask
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Chart/patch1-Chart-13-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/13.src.patch,is it fixed by doing something different when len > 1
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Elixir/Chart/patch1-Chart-3-Elixir-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/3.src.patch,is it fixed by replacing copy with copy.addAndOrUpdate(copy)?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Lang/patch2-Lang-6-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/6.src.patch,is it fixed by replacing pos with a literal ‘0’?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch3-Math-82-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/82.src.patch,is it fixed by replacing 0 with epsilon?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch1-Math-63-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/63.src.patch,is it fixed by removing the first part of the check
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch4-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking fa instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch5-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by replacing fa with maximumIterations?
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch12-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking max 0 and fa*fa instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch6-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking max … instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch17-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking max … instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch10-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking max … instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch14-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,is it fixed by checking max … instead of fa*fa
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch15-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch13-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch1-Math-59-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch1-Math-80-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/80.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch2-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch8-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch9-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch3-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch7-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch16-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Math/patch11-Math-85-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-38-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/38.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch4-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch2-Closure-38-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/38.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch5-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch3-Closure-86-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/86.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch9-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch5-Closure-86-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/86.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch2-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch7-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch10-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch5-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch8-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-18-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/18.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch4-Closure-86-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/86.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch9-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch3-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch5-Closure-18-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/18.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch3-Closure-38-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/38.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch4-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch10-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch6-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch8-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch2-Closure-86-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/86.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch4-Closure-18-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/18.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch3-Closure-18-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/18.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-73-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/73.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch3-Closure-93-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/93.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch2-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch1-Closure-123-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/123.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Closure/patch6-Closure-92-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Closure/patches/92.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Chart/patch4-Chart-1-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/1.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Chart/patch2-Chart-1-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/1.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/SequenceR/Chart/patch3-Chart-1-SequenceR.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Chart/patches/1.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Lang/patch1-Lang-51-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/51.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Lang/patch1-Lang-39-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/39.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Math/patch1-Math-49-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/49.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Math/patch1-Math-58-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/58.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Math/patch1-Math-85-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Math/patches/85.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Nopol2015/Time/patch1-Time-11-Nopol2015-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Time/patches/11.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-22-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/22.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-16-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/16.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch7-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-63-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/63.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-55-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/55.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-22-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/22.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-39-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/39.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-51-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/51.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-55-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/55.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-61-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/61.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-43-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/43.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-20-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/20.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-61-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/61.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-16-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/16.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-60-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/60.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-43-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/43.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-63-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/63.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-22-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/22.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-63-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/63.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-61-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/61.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch6-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-55-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/55.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch5-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-63-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/63.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-41-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/41.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-51-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/51.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch8-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-61-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/61.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-22-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/22.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch5-Lang-55-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/55.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-55-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/55.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-20-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/20.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch7-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch6-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch5-Lang-63-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/63.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch1-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-20-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/20.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch2-Lang-43-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/43.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch3-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-43-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/43.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch5-Lang-7-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/7.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch4-Lang-50-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/50.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch9-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
https://github.com/KTH/drr/blob/master/Patches/Doverfitting/Arja/Lang/patch5-Lang-59-Arja-plausible.patch,https://github.com/rjust/defects4j/blob/master/framework/projects/Lang/patches/59.src.patch,
